time	V(n015)	V(n017)
6.248163554798017e-003	-1.085745e+001	-1.103555e-006
6.264317401744389e-003	-1.084570e+001	-1.103552e-006
6.272214233848652e-003	-1.083521e+001	-1.103549e-006
6.278630848865869e-003	-1.082236e+001	-1.103545e-006
6.285058250353593e-003	-1.080539e+001	-1.103540e-006
6.291114903813930e-003	-1.078541e+001	-1.103535e-006
6.297415461932070e-003	-1.076032e+001	-1.103528e-006
6.305355831414689e-003	-1.072337e+001	-1.103517e-006
6.314082340055787e-003	-1.067722e+001	-1.103505e-006
6.322355614903220e-003	-1.062813e+001	-1.103491e-006
6.332437308537855e-003	-1.056070e+001	-1.103472e-006
6.349664608432298e-003	-1.042733e+001	-1.103435e-006
6.380434041812598e-003	-1.014284e+001	-1.103356e-006
6.429262166812597e-003	-9.609618e+000	-1.103209e-006
6.478090291812597e-003	-9.009656e+000	-1.103044e-006
6.526918416812597e-003	-8.380688e+000	-1.102874e-006
6.575746541812597e-003	-7.775116e+000	-1.102711e-006
6.624574666812597e-003	-7.242963e+000	-1.102570e-006
6.673402791812597e-003	-6.813930e+000	-1.102458e-006
6.705762229575955e-003	-6.599490e+000	-1.102402e-006
6.721892478114495e-003	-6.523585e+000	-1.102383e-006
6.739501573275994e-003	-6.468221e+000	-1.102368e-006
6.761093146702830e-003	-6.430725e+000	-1.102359e-006
6.783057534157680e-003	-6.431111e+000	-1.102359e-006
6.818679169170663e-003	-6.511085e+000	-1.102379e-006
6.867507294170663e-003	-6.740406e+000	-1.102439e-006
6.916335419170663e-003	-7.085865e+000	-1.102529e-006
6.965163544170662e-003	-7.518424e+000	-1.102643e-006
7.013991669170662e-003	-7.989699e+000	-1.102768e-006
7.062819794170662e-003	-8.447518e+000	-1.102891e-006
7.111647919170662e-003	-8.840789e+000	-1.102998e-006
7.160476044170662e-003	-9.131103e+000	-1.103077e-006
7.200768261712461e-003	-9.280066e+000	-1.103118e-006
7.218149040080377e-003	-9.308477e+000	-1.103126e-006
7.234977720059530e-003	-9.307809e+000	-1.103125e-006
7.253672674539501e-003	-9.282722e+000	-1.103119e-006
7.270980079212713e-003	-9.233397e+000	-1.103105e-006
7.299124107218021e-003	-9.097082e+000	-1.103068e-006
7.344501937207733e-003	-8.769283e+000	-1.102978e-006
7.393330062207733e-003	-8.292253e+000	-1.102850e-006
7.442158187207733e-003	-7.707146e+000	-1.102693e-006
7.490986312207733e-003	-7.056226e+000	-1.102522e-006
7.539814437207732e-003	-6.390515e+000	-1.102349e-006
7.588642562207732e-003	-5.762269e+000	-1.102190e-006
7.637470687207732e-003	-5.220091e+000	-1.102054e-006
7.686298812207732e-003	-4.784040e+000	-1.101947e-006
7.710630237519336e-003	-4.618331e+000	-1.101907e-006
7.725702797681385e-003	-4.543257e+000	-1.101889e-006
7.744376326201938e-003	-4.476035e+000	-1.101873e-006
7.762909049432703e-003	-4.434862e+000	-1.101863e-006
7.786011153862204e-003	-4.424476e+000	-1.101860e-006
7.823445059560156e-003	-4.490546e+000	-1.101876e-006
7.872273184560156e-003	-4.697390e+000	-1.101926e-006
7.921101309560157e-003	-5.019012e+000	-1.102005e-006
7.969929434560158e-003	-5.423811e+000	-1.102105e-006
8.018757559560158e-003	-5.862829e+000	-1.102215e-006
8.067585684560159e-003	-6.283792e+000	-1.102321e-006
8.116413809560160e-003	-6.635980e+000	-1.102412e-006
8.165241934560160e-003	-6.884211e+000	-1.102476e-006
8.202626110083619e-003	-6.990844e+000	-1.102504e-006
8.219539600888608e-003	-7.004891e+000	-1.102507e-006
8.236654729315994e-003	-6.989863e+000	-1.102503e-006
8.260029987779152e-003	-6.935271e+000	-1.102489e-006
8.281327844317709e-003	-6.847620e+000	-1.102467e-006
8.315884845399500e-003	-6.626619e+000	-1.102409e-006
8.364712970399500e-003	-6.192636e+000	-1.102298e-006
8.413541095399501e-003	-5.638699e+000	-1.102159e-006
8.462369220399502e-003	-4.992111e+000	-1.101999e-006
8.511197345399502e-003	-4.300945e+000	-1.101832e-006
8.560025470399503e-003	-3.617331e+000	-1.101670e-006
8.608853595399504e-003	-2.992596e+000	-1.101526e-006
8.657681720399504e-003	-2.437280e+000	-1.101400e-006
8.665581617083635e-003	-2.364053e+000	-1.101384e-006
8.673717725231109e-003	-2.293019e+000	-1.101368e-006
8.677862325554855e-003	-2.258171e+000	-1.101360e-006
8.680956025021816e-003	-2.233070e+000	-1.101355e-006
8.683642180552446e-003	-2.211806e+000	-1.101350e-006
8.685843185150973e-003	-2.194692e+000	-1.101346e-006
8.686942433531592e-003	-2.186318e+000	-1.101344e-006
8.687639924935956e-003	-2.181040e+000	-1.101343e-006
8.688146686464563e-003	-2.177225e+000	-1.101342e-006
8.688571486569544e-003	-2.174042e+000	-1.101342e-006
8.689017937357147e-003	-2.170711e+000	-1.101341e-006
8.689500747655154e-003	-2.167122e+000	-1.101340e-006
8.689820808527930e-003	-2.164752e+000	-1.101340e-006
8.690496770114551e-003	-2.159768e+000	-1.101339e-006
8.691172731701174e-003	-2.154819e+000	-1.101338e-006
8.691848693287796e-003	-2.149906e+000	-1.101336e-006
8.692524654874417e-003	-2.145029e+000	-1.101335e-006
8.693200616461038e-003	-2.140187e+000	-1.101334e-006
8.693876578047662e-003	-2.135382e+000	-1.101333e-006
8.694552539634283e-003	-2.130612e+000	-1.101332e-006
8.703481075192003e-003	-2.070851e+000	-1.101319e-006
8.709829516299441e-003	-2.031299e+000	-1.101310e-006
8.715358512270111e-003	-1.998747e+000	-1.101303e-006
8.716887713731093e-003	-1.990145e+000	-1.101301e-006
8.718190269618249e-003	-1.983024e+000	-1.101300e-006
8.718659523140172e-003	-1.980490e+000	-1.101299e-006
8.719099399868134e-003	-1.978135e+000	-1.101299e-006
8.719339745874905e-003	-1.976854e+000	-1.101298e-006
8.719590837653266e-003	-1.975521e+000	-1.101298e-006
8.719926818908744e-003	-1.973744e+000	-1.101298e-006
8.720148856727238e-003	-1.972574e+000	-1.101297e-006
8.720389251668650e-003	-1.971312e+000	-1.101297e-006
8.720653582445361e-003	-1.969930e+000	-1.101297e-006
8.721138335635299e-003	-1.967413e+000	-1.101296e-006
8.722107842015173e-003	-1.962438e+000	-1.101295e-006
8.723815347478457e-003	-1.953841e+000	-1.101293e-006
8.725944442853342e-003	-1.943392e+000	-1.101291e-006
8.732545762943996e-003	-1.913658e+000	-1.101285e-006
8.741347523064866e-003	-1.879480e+000	-1.101277e-006
8.753969731220586e-003	-1.837801e+000	-1.101268e-006
8.759725752723284e-003	-1.821755e+000	-1.101265e-006
8.760393283500718e-003	-1.820147e+000	-1.101264e-006
8.770557934920599e-003	-1.800706e+000	-1.101260e-006
8.780722586340481e-003	-1.789677e+000	-1.101258e-006
8.790887237760362e-003	-1.787058e+000	-1.101257e-006
8.801051889180244e-003	-1.792850e+000	-1.101258e-006
8.811216540600126e-003	-1.807053e+000	-1.101261e-006
8.821381192020007e-003	-1.829667e+000	-1.101266e-006
8.831545843439889e-003	-1.860691e+000	-1.101273e-006
8.880373968439890e-003	-2.067173e+000	-1.101318e-006
8.917393396621117e-003	-2.295399e+000	-1.101369e-006
8.954813871628225e-003	-2.583735e+000	-1.101433e-006
8.991906304055343e-003	-2.898895e+000	-1.101504e-006
9.040734429055343e-003	-3.316611e+000	-1.101600e-006
9.089562554055344e-003	-3.692154e+000	-1.101687e-006
9.138390679055345e-003	-3.978545e+000	-1.101754e-006
9.187218804055345e-003	-4.156758e+000	-1.101796e-006
9.210974550939761e-003	-4.192394e+000	-1.101805e-006
9.226131621803154e-003	-4.187094e+000	-1.101804e-006
9.244946106204034e-003	-4.154456e+000	-1.101796e-006
9.263121027692722e-003	-4.097576e+000	-1.101782e-006
9.286355876889262e-003	-3.983172e+000	-1.101755e-006
9.324000804886243e-003	-3.713550e+000	-1.101692e-006
9.372828929886244e-003	-3.241562e+000	-1.101583e-006
9.421657054886245e-003	-2.657107e+000	-1.101450e-006
9.460177639678482e-003	-2.130905e+000	-1.101333e-006
9.552745586716822e-003	-7.941231e-001	-1.101046e-006
9.601573711716823e-003	-1.440431e-001	-1.100911e-006
9.650401836716824e-003	4.084521e-001	-1.100799e-006
9.697402797251332e-003	8.355303e-001	-1.100714e-006
9.715636619531641e-003	9.627240e-001	-1.100689e-006
9.731931173158862e-003	1.048402e+000	-1.100672e-006
9.748262299738117e-003	1.114265e+000	-1.100659e-006
9.764354107320954e-003	1.157582e+000	-1.100651e-006
9.788360836998633e-003	1.180519e+000	-1.100646e-006
9.827230964632491e-003	1.131539e+000	-1.100656e-006
9.876059089632492e-003	9.478890e-001	-1.100692e-006
9.924887214632493e-003	6.497369e-001	-1.100751e-006
9.973715339632493e-003	2.715774e-001	-1.100826e-006
1.001183625291777e-002	-5.098649e-002	-1.100892e-006
1.005019678051024e-002	-3.716455e-001	-1.100957e-006
1.008915701824885e-002	-6.609250e-001	-1.101017e-006
1.013798514324885e-002	-9.385707e-001	-1.101075e-006
1.018681326824885e-002	-1.112701e+000	-1.101112e-006
1.021082281350817e-002	-1.146942e+000	-1.101119e-006
1.022594264971639e-002	-1.140632e+000	-1.101118e-006
1.024471219098351e-002	-1.106811e+000	-1.101111e-006
1.026303400816376e-002	-1.048340e+000	-1.101099e-006
1.028621436585131e-002	-9.329561e-001	-1.101074e-006
1.032377268062393e-002	-6.622559e-001	-1.101018e-006
1.037260080562393e-002	-1.886550e-001	-1.100920e-006
1.042142893062393e-002	4.007024e-001	-1.100801e-006
1.047025705562393e-002	1.074072e+000	-1.100668e-006
1.051908518062393e-002	1.783511e+000	-1.100531e-006
1.056158126610723e-002	2.389313e+000	-1.100417e-006
1.060718269356684e-002	2.983884e+000	-1.100307e-006
1.065499410264391e-002	3.511814e+000	-1.100212e-006
1.069860307573486e-002	3.897798e+000	-1.100143e-006
1.071653167108901e-002	4.019417e+000	-1.100121e-006
1.073303258086547e-002	4.104137e+000	-1.100106e-006
1.074816995904808e-002	4.163567e+000	-1.100096e-006
1.076431978235240e-002	4.205505e+000	-1.100088e-006
1.078830503246218e-002	4.226499e+000	-1.100085e-006
1.082714110917036e-002	4.174060e+000	-1.100094e-006
1.087596923417036e-002	3.985435e+000	-1.100127e-006
1.092479735917036e-002	3.681603e+000	-1.100181e-006
1.097362548417036e-002	3.296031e+000	-1.100250e-006
1.102245360917036e-002	2.876589e+000	-1.100326e-006
1.106323570692119e-002	2.532185e+000	-1.100390e-006
1.108797250920167e-002	2.343381e+000	-1.100425e-006
1.112118651508734e-002	2.131077e+000	-1.100464e-006
1.115589832439332e-002	1.969481e+000	-1.100495e-006
1.119896244602311e-002	1.850739e+000	-1.100517e-006
1.121679987091512e-002	1.834699e+000	-1.100520e-006
1.123335472113288e-002	1.846861e+000	-1.100518e-006
1.124885157237226e-002	1.876804e+000	-1.100512e-006
1.126457314447018e-002	1.927947e+000	-1.100503e-006
1.128871693132247e-002	2.047844e+000	-1.100480e-006
1.132780427202922e-002	2.328049e+000	-1.100428e-006
1.137663239702922e-002	2.799593e+000	-1.100341e-006
1.142546052202922e-002	3.384581e+000	-1.100235e-006
1.147428864702922e-002	4.049047e+000	-1.100117e-006
1.152311677202922e-002	4.743479e+000	-1.099996e-006
1.157194489702922e-002	5.415476e+000	-1.099882e-006
1.162077302202922e-002	6.014632e+000	-1.099782e-006
1.166960114702922e-002	6.508758e+000	-1.099701e-006
1.170430778667394e-002	6.782959e+000	-1.099657e-006
1.172080043193579e-002	6.880464e+000	-1.099641e-006
1.173817884721280e-002	6.954602e+000	-1.099629e-006
1.176059946927814e-002	7.017868e+000	-1.099619e-006
1.178225439020971e-002	7.040351e+000	-1.099615e-006
1.181738198083629e-002	6.996904e+000	-1.099622e-006
1.186621010583630e-002	6.814483e+000	-1.099651e-006
1.191503823083630e-002	6.512492e+000	-1.099700e-006
1.196386635583630e-002	6.119018e+000	-1.099765e-006
1.201269448083630e-002	5.682268e+000	-1.099837e-006
1.206152260583630e-002	5.254362e+000	-1.099909e-006
1.211035073083630e-002	4.886473e+000	-1.099971e-006
1.215917885583630e-002	4.617992e+000	-1.100017e-006
1.220025877209406e-002	4.482375e+000	-1.100040e-006
1.221776814027580e-002	4.460098e+000	-1.100044e-006
1.223451909702924e-002	4.466403e+000	-1.100043e-006
1.225285840913026e-002	4.496468e+000	-1.100038e-006
1.226965430400467e-002	4.548335e+000	-1.100029e-006
1.229697210350888e-002	4.684819e+000	-1.100005e-006
1.234105895060848e-002	5.006612e+000	-1.099950e-006
1.238988707560848e-002	5.484532e+000	-1.099870e-006
1.243871520060848e-002	6.069136e+000	-1.099773e-006
1.248754332560848e-002	6.719735e+000	-1.099667e-006
1.253637145060848e-002	7.390518e+000	-1.099560e-006
1.256560579304403e-002	7.785951e+000	-1.099496e-006
1.258157775498071e-002	7.991496e+000	-1.099319e-006
